entityid,Name,Phone,InPhoneBook,Denomination,Full_Address,Municipality,PostalCode,NBH_ID,NBH_MUNICIPALITY,Long,Lat
,Netherlands Reformed Congregation,905-935-0567,Yes,Netherlands Reformed,1142 Lakeshore Road West,City of St. Catharines,L0S1J0,ST1,St. Catharines,-79.3022797069168,43.1869755480804
,Full Gospel Church,Not Available,No,Pentecostal Assemblies,10 Page Street ,City of Port Colborne,L3K5V7,PC2,Port Colborne,-79.242880765133,42.9026220052759
,Christian Science - Reading Room,905-684-8033,Yes,Christian Science,20 Saint Paul Street ,City of St. Catharines,L2R3M2,ST10,St. Catharines,-79.245312583478,43.1555904796221
,Fonthill United Church,905-892-6433,Yes,United,42 Church Hill ,Town of Pelham,L0S1E0,PE2,Pelham,-79.2910835427205,43.0434640705833
,Free Methodist Church,905-894-2582,Yes,Free Methodist,209 Ridge Road North,Town of Fort Erie,L0S1N0,FE3,Fort Erie,-79.052247765554,42.8804833989712
,St. Paul's Evangelical Lutheran Church,905-358-5421,No,Lutheran,5485 Victoria Avenue ,City of Niagara Falls,L2G3L3,NF2,Niagara Falls,-79.0732076771044,43.0950965081815
,Bethel Pentecostal Assembly,905-871-4640,Yes,Pentecostal Assemblies,46 Bowden Street ,Town of Fort Erie,L2A3V1,FE4,Fort Erie,-78.9183900649003,42.926414767257
,St. Peter and Paul Church,905-734-4824,Yes,Roman Catholic,300 Chaffey Street ,City of Welland,L3B2Y8,WD5,Welland,-79.2446463210193,42.9700363413387
,Canadian Reformed Church of Smithville,905-957-3204,Yes,Canadian Reformed Church,330 Station Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5433356920445,43.1051061922874
,Brethren in Christ Church of Canada,905-871-6980,No,Brethren in Christ,2619 Niagara River Parkway ,Town of Fort Erie,L2A5M4,FE1,Fort Erie,-78.9769763770202,42.9560366817934
,Orchard Creek Fellowship,905-227-1407,Yes,Brethren in Christ,2 Whyte Street South,City of Thorold,L2V2T1,TH2,Thorold,-79.2073329721808,43.1242148987684
,Sherkston Brethren in Christ Church,905-894-0673,Yes,Brethren in Christ,5348 Sherkston Road ,Town of Fort Erie,L0S1R0,FE2,Fort Erie,-79.1129629579736,42.8823984342425
,Harbour Fellowship Church,905-984-5500,Yes,Baptist,51 South Service Road ,City of St. Catharines,L2R6P9,ST3,St. Catharines,-79.2813851116106,43.1758665138663
,Cham Shan Temple,905-371-2679,Yes,Buddhism,4303 River Road ,City of Niagara Falls,L2E3E8,NF2,Niagara Falls,-79.0614544299739,43.1109861161478
,St. Andrew's United,905-935-7231,Yes,United,92 Main Street ,City of St. Catharines,L2N4V2,ST2,St. Catharines,-79.2723505006903,43.1994771408753
,St. Stephen's Anglican,905-358-3111,No,Anglican,5205 Fourth Avenue ,City of Niagara Falls,L2E4P9,NF2,Niagara Falls,-79.0787147339027,43.0989496972935
,St. Giles Presbyterian Church,905-934-1901,Yes,Presbyterian,205 Linwell Road ,City of St. Catharines,L2N1S1,ST17,St. Catharines,-79.2459877953248,43.1931246514212
,Rosedale Baptist Church,905-735-0788,Yes,Baptist,11 Rosedale Place ,City of Welland,L3B1J2,WD4,Welland,-79.2300767743603,42.9831723926611
,St. Joseph's Roman Catholic Church,905-945-2661,Yes,Roman Catholic,135 Livingston Avenue ,Town of Grimsby,L3M5J6,GR3,Grimsby,-79.5793234363785,43.1975812655786
,St. Ann's Roman Catholic Church,905-892-6123,Yes,Roman Catholic,834 Canboro Road ,Town of Pelham,L0S1C0,PE4,Pelham,-79.3657637128855,43.023833796302
,Tree of Life Christian Fellowship,905-957-7836,Yes,Unknown,4170 Fly Road ,Town of Lincoln,L0R1G0,LN4,Lincoln,-79.4313259999926,43.1348981332935
,First Netherlands Reformed Congregation,905-562-0606,Yes,Netherlands Reformed,3890 Twenty-third Street ,Town of Lincoln,L0R2C0,LN3,Lincoln,-79.387795979432,43.1510510490803
,Church of Jesus Christ of Latter Day Saints,905-684-3162,Yes,Church of Jesus Christ,351 Glenridge Avenue ,City of St. Catharines,L2T3K6,ST7,St. Catharines,-79.2382785803143,43.1323524004505
,St. John's of Rila Bulgarian Eastern Orthodox Church,905-356-7151,Yes,Orthodox,4871 Willmott Street ,City of Niagara Falls,L2E1Z5,NF2,Niagara Falls,-79.0744517411145,43.103320546382
,St. Andrew's Church,905-227-4844,Yes,Presbyterian,24 Clairmont Street ,City of Thorold,L2V2C1,TH2,Thorold,-79.198711244506,43.1238633467636
,Bethany Community Church,905-937-5300,Yes,Missionary,1388 Third Street Louth ,City of St. Catharines,L2R6P9,ST1,St. Catharines,-79.2868149098597,43.1811392984116
,Wellandport Church of Christ,905-386-0154,Yes,Church of Christ,72630 Regional Road 27,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.4109538012503,42.9897085135809
,Christ Anglican Church,905-899-0209,Yes,Anglican,31970 Church Street ,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.3759535906021,42.9262938007129
,United Brethren in Christ Church,Not Available,No,United,2542 Stevensville Road ,Town of Fort Erie,L0S1S0,FE1,Fort Erie,-79.0543623077811,42.9438999510283
,St. Thomas Moore Church,905-356-7533,Yes,Roman Catholic,6548 Dorchester Road ,City of Niagara Falls,L2G5T5,NF3,Niagara Falls,-79.1095083134811,43.0800617296794
,Central Avenue United Church,905-871-3768,Yes,United,575 Central Avenue ,Town of Fort Erie,L2A6T4,FE4,Fort Erie,-78.9191657160898,42.9303911155142
,Jehovah's Witnesses Kingdom Hall,905-682-9837,Yes,Jehovah's Witnesses,93 Moffatt Street ,City of St. Catharines,L2P2L6,ST8,St. Catharines,-79.2232162788908,43.1466578418128
,Grace Anglican Church,905-685-7412,Yes,Anglican,238 Geneva Street ,City of St. Catharines,L2R4P8,ST9,St. Catharines,-79.2401215614251,43.1742323526651
,Niagara International Worship Centre,905-356-0635,Yes,Pentecostal Assemblies,6846 Frederica Street ,City of Niagara Falls,L2G1E2,NF3,Niagara Falls,-79.1095537182729,43.0939217938649
,Free Methodist Church of Canada,905-354-7006,Yes,Free Methodist,5470 Drummond Road ,City of Niagara Falls,L2H2Z8,NF3,Niagara Falls,-79.0971607092299,43.0949502527701
,Church of Jesus Christ of Latter-Day Saints,905-991-0397,Yes,Church of Jesus Christ,660 Garrison Road ,Town of Fort Erie,L2E1Y3,FE5,Fort Erie,-78.9398933017287,42.9057965633972
,All Nations Fellowship,905-894-6502,Yes,Non-Denominational,3397 Highway 3  ,Town of Fort Erie,L2A3N8,FE3,Fort Erie,-79.0423092188861,42.9032727673667
,Jehovah's Witness Kingdom Hall,905-945-3223,Yes,Jehovah's Witnesses,164 Mountain Road ,Town of Grimsby,L3M4J3,GR1,Grimsby,-79.5639113867733,43.1770371621593
,St. Peter's Lutheran Church,905-834-3231,Yes,Lutheran,200 Erie Street ,City of Port Colborne,L3K4M4,PC1,Port Colborne,-79.2538489571047,42.8971045793093
,St. John's Presbyterian Church,Not Available,No,Presbyterian,10 Mountain Street ,Town of Grimsby,L3M3J6,GR3,Grimsby,-79.5630701062391,43.1932415118654
,Calvary Baptist Church,905-382-2400,Yes,Baptist Independent,2494 Stevensville Road ,Town of Fort Erie,L2E6S6,FE1,Fort Erie,-79.0542505290096,42.9427454361263
,Grace Community Church,905-680-4092,Yes,Reformed Church in America,241 Saint David's Road ,City of Thorold,L2V2T1,TH3,Thorold,-79.2243930968093,43.1230852721565
,Eagles' Nest Community Church,905-682-9000,Yes,Word of Faith,3400 Schmon Parkway ,City of Thorold,L2V4Y6,TH4,Thorold,-79.2381721235999,43.1122765824324
,Church of the Good Shepherd,905-934-9672,Yes,Anglican,361 Grantham Avenue ,City of St. Catharines,L2M4M2,ST13,St. Catharines,-79.2217259751163,43.1873046614633
,Bertie Brethren in Christ,905-382-2646,Yes,Brethren in Christ,4943 Church Road ,Town of Fort Erie,L0S1N0,FE1,Fort Erie,-79.1011926806157,42.9408969370375
,Church of Christ,905-834-5775,Yes,Church of Christ,700 Steele Street ,City of Port Colborne,L3K2S6,PC1,Port Colborne,-79.2604301880694,42.897420304269
,All Saints Anglican Church,905-354-4144,Yes,Anglican,5680 Robinson Street ,City of Niagara Falls,L2G2B2,NF3,Niagara Falls,-79.0871579882803,43.085786312241
,Main Street Baptist Church,905-354-9057,Yes,Baptist,6151 Main Street ,City of Niagara Falls,L2G6A3,NF3,Niagara Falls,-79.0907212141176,43.0850538296344
,St. Mary's Church,905-734-3143,Yes,Roman Catholic,90 Griffith Street ,City of Welland,L3B4G4,WD3,Welland,-79.2475850701484,42.9887706335878
,Merritt's United Church,905-692-9990,No,United,707 Church Road ,Township of West Lincoln,L0R1E0,WL2,West Lincoln,-79.6172090509663,43.0160073244484
,Jordan Station United,905-562-4454,Yes,United,4105 Bridgeport Drive ,Town of Lincoln,L0R1S0,LN3,Lincoln,-79.3674179585382,43.1617251298868
,St. Mary's Ukrainian Catholic Church,905-227-5120,Yes,Ukrainian Catholic,3 Towpath Street ,City of Thorold,L2V3K1,TH2,Thorold,-79.2008940834963,43.1211467221701
,Village Bible Church,905-468-2252,Yes,Non-Denominational,437 Mississagua Street ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.0838373205346,43.2537095506345
,St. Martin's Anglican Church,905-358-5636,No,Anglican,5720 Dorchester Road ,City of Niagara Falls,L2G5S3,NF3,Niagara Falls,-79.1101968362705,43.091240383844
,St. Matthew's Evangelical Lutheran Church,905-734-4746,Yes,Lutheran,57 Griffith Street ,City of Welland,L3B4G6,WD3,Welland,-79.2490875382482,42.9883506603412
,St. Andrew's Presbyterian Church,905-684-9514,Yes,Presbyterian,368 Merritt Street ,City of St. Catharines,L2P1P6,ST8,St. Catharines,-79.2137494264172,43.1416043637294
,Faith in Christ Fellowship,905-871-7788,Yes,Non-Denominational,94 Jarvis Street ,Town of Fort Erie,L2A3W4,FE4,Fort Erie,-78.9177290674208,42.9300321022584
,Fonthill Baptist Church,905-892-3925,Yes,Baptist,1414 Pelham Street ,Town of Pelham,L0S1E0,PE2,Pelham,-79.285850495486,43.0440149313468
,Facer St. Baptist Church,905-937-6022,Yes,Baptist,17 Facer Street ,City of St. Catharines,L2M5H1,ST13,St. Catharines,-79.2283374590903,43.1750603511143
,Redemptoristine Nuns,905-871-1885,Yes,Roman Catholic,2681 Niagara River Parkway ,Town of Fort Erie,L2A5M4,FE1,Fort Erie,-78.9789356666128,42.9572662001423
,Church of Jesus Christ of Latter Day Saints,905-871-9974,Yes,Church of Jesus Christ,122 High Street ,Town of Fort Erie,L2A1Y1,FE4,Fort Erie,-78.9161602292294,42.9169890470264
,First United Church,905-684-8309,Yes,United,95 Church Street ,City of St. Catharines,L2R3C7,ST10,St. Catharines,-79.2457431271166,43.1619813177539
,Orchard Park Bible Church,905-468-5731,Yes,Mennonite Brethren,434 Hunter Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.1006785938328,43.241832903248
,Glenview United Church,Not Available,No,United,263 Pelham Road ,City of St. Catharines,L2S1X7,ST4,St. Catharines,-79.2571375372221,43.1310356667063
,Our Lady of Scapular Roman Catholic Church,905-358-7611,No,Roman Catholic,6557 Thorold Stone Road ,City of Niagara Falls,L2J1B2,NF1,Niagara Falls,-79.1064112396294,43.1157904075761
,Louth United Church,905-688-3440,Yes,United,1429 Third Avenue Louth ,City of St. Catharines,L2R1H9,ST1,St. Catharines,-79.2917598884946,43.1643223322979
,British Methodist Episcopal Church,905-682-0993,Yes,Methodist,92 Geneva Street ,City of St. Catharines,L2R4N2,ST9,St. Catharines,-79.2400118143935,43.1651664286442
,Vineland Mennonite Brethren,905-562-7391,Yes,Mennonite Brethren,3970 Glendale Avenue ,Town of Lincoln,L0R2C0,LN3,Lincoln,-79.3994026897764,43.1535601703565
,Niagara Christian Assembly,Not Available,No,Pentecostal Assemblies,2016 Niagara Stone Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.1003977479957,43.2389197274524
,Grace United Church,905-468-4044,Yes,United,222 Victoria Street ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.0741205366427,43.2557163708318
,Bethel Bapstist Church,905-682-9213,Yes,Baptist,10 Arlington Avenue ,City of St. Catharines,L2P3A4,ST9,St. Catharines,-79.2131702306393,43.1619017468219
,Glengate Alliance Church,905-354-9073,Yes,Christian & Missionary,6271 Glengate Street ,City of Niagara Falls,L2E5S4,NF1,Niagara Falls,-79.099622143757,43.1103444332099
